,graph,start_index,starting_neighbors,starting_betweenness,transitivity,components,beta,average_path,iterations,number_infected
0,reply,4776,1,0.0,0.21998502913719503,1,0.001,3.150966063704537,10,24532
1,reply,4776,1,0.0,0.21998502913719503,1,0.01,3.150966063704537,10,24535
2,reply,4776,1,0.0,0.21998502913719503,1,0.05,3.150966063704537,10,24540
3,reply,21693,1,0.0,0.21998502913719503,1,0.001,3.150966063704537,10,24533
4,reply,21693,1,0.0,0.21998502913719503,1,0.01,3.150966063704537,10,24535
5,reply,21693,1,0.0,0.21998502913719503,1,0.05,3.150966063704537,10,24535
6,reply,19943,1,0.0,0.21998502913719503,1,0.001,3.150966063704537,10,24507
7,reply,19943,1,0.0,0.21998502913719503,1,0.01,3.150966063704537,10,24488
8,reply,19943,1,0.0,0.21998502913719503,1,0.05,3.150966063704537,10,24509
9,reply,9856,1,0.0,0.21998502913719503,1,0.001,3.150966063704537,10,24543
10,reply,9856,1,0.0,0.21998502913719503,1,0.01,3.150966063704537,10,24534
11,reply,9856,1,0.0,0.21998502913719503,1,0.05,3.150966063704537,10,24528
12,reply,676,1,0.0,0.21998502913719503,1,0.001,3.150966063704537,10,24489
13,reply,676,1,0.0,0.21998502913719503,1,0.01,3.150966063704537,10,24504
14,reply,676,1,0.0,0.21998502913719503,1,0.05,3.150966063704537,10,24499
15,SW,15460,3,23071.08707842075,0.21545274302545894,1,0.001,6.9299126943015805,10,22736
16,SW,15460,3,23071.08707842075,0.21545274302545894,1,0.01,6.9299126943015805,10,21551
17,SW,15460,3,23071.08707842075,0.21545274302545894,1,0.05,6.9299126943015805,10,23298
18,SW,15977,5,52862.45896217604,0.21545274302545894,1,0.001,6.9299126943015805,10,24201
19,SW,15977,5,52862.45896217604,0.21545274302545894,1,0.01,6.9299126943015805,10,24291
20,SW,15977,5,52862.45896217604,0.21545274302545894,1,0.05,6.9299126943015805,10,24410
21,SW,1049,6,84902.36974571878,0.21545274302545894,1,0.001,6.9299126943015805,10,24229
22,SW,1049,6,84902.36974571878,0.21545274302545894,1,0.01,6.9299126943015805,10,24350
23,SW,1049,6,84902.36974571878,0.21545274302545894,1,0.05,6.9299126943015805,10,24203
